Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,blank,ms_level,Blank1a.mzXML,Blank1b (1).mzXML,Blank1b (2).mzXML,Blank1b.mzXML
FT0001,100.080317190705,100.047750918855,100.192310107229,142.845001220703,44.5174942016602,229.12,157,4,1,23978692.8411057,43944.5078818359,43944.5078818359,43944.5078818359
FT0002,100.076104381911,100.074844023281,100.176553799824,1529.61,1424.29,1665.98889160156,188,4,1,21086624.3945446,13766.4158056641,13766.4158056641,13766.4158056641
FT0003,100.076145239222,100.047212696736,100.175842415619,396.436004638672,239.156,552.769,267,4,1,7171970.76843211,20338004.9731472,20338004.9731472,20338004.9731472
FT0004,100.076106516521,100.073403923715,100.17591633486,773.846004150391,646.552978515625,888.313,204,4,1,12109526.9291995,17396.0737817995,17396.0737817995,17396.0737817995
FT0005,100.076147483162,100.075077264757,100.175996300169,1380.88000488281,1339.17,1422.1,71,4,1,24603142.8769124,40927.9330161228,40927.9330161228,40927.9330161228
FT0006,100.076188522711,100.073305112934,100.175938245276,935.512023925781,895.206359863281,974.541015625,67,4,1,47999520.3753194,19018.8264588867,19018.8264588867,19018.8264588867
FT0007,100.076214619555,100.074690976124,100.176050524495,1023.5,986.750610351562,1071.59,74,4,1,34514822.0890765,16010.506602173,16010.506602173,16010.506602173
FT0008,100.076256969393,100.075082476539,100.175907999861,1278.46,1227.77,1335.7900390625,91,4,1,24199759.3412363,13200.3120172122,13200.3120172122,13200.3120172122
FT0009,100.076156494243,100.073180611009,100.176112182116,1149.5400390625,1077.45520019531,1220.40783691406,113,4,1,10851367.6482661,15139.7040332029,15139.7040332029,15139.7040332029
FT0010,100.07618350099,100.075078393106,100.175474446953,599.226989746094,562.267028808594,639.765014648438,60,4,1,14388348.6140391,12912243.6098749,12912243.6098749,12912243.6098749
FT0011,100.075523355565,100.074944688441,100.076312661205,2230.40991210938,2087.7099609375,2459.66,194,4,1,3214298.1033171,3467151.36603987,3467151.36603987,3467151.36603987
FT0012,100.075411866163,100.074912434165,100.076253198443,1991.38,1913.58129882812,2076.07397460938,107,4,1,4020079.65035936,7986778.8434765,7986778.8434765,7986778.8434765
FT0013,100.075407328744,100.074965793791,100.076419565347,1797.44995117188,1669.94995117188,1899.48,151,4,1,5214328.89849384,8721540.3744758,8721540.3744758,8721540.3744758
FT0014,100.075293948108,100.074835705769,100.076225475503,-40.574599989891,-122.935799989891,21.612096786499,18,1,1,19792348.436011,NA,NA,NA
FT0015,101.008129773407,101.007967945299,101.008204787383,2280.36010742188,2222.01,2349.00756835938,28,4,1,169823.312580227,222691.095644536,222691.095644536,222691.095644536
FT0016,101.008104832919,101.008084486419,101.008149633698,2155.81005859375,2071.37,2209.98,27,3,1,NA,126895.321713869,126895.321713869,126895.321713869
FT0017,101.008137710169,101.007977665857,101.008170279357,1648.68005371094,1588.86999511719,1680.63000488281,21,3,1,NA,179741.684232576,179741.684232576,179741.684232576
FT0018,101.008133432595,101.008100574372,101.00813734749,1108.4599609375,1047.13,1128.47,9,3,1,NA,139487.551671872,139487.551671872,139487.551671872
FT0019,101.008125478981,101.008121461725,101.008144000957,1252.05004882812,1208.98999023438,1284.0400390625,9,3,1,NA,148546.89226563,148546.89226563,148546.89226563
FT0020,101.008077786519,101.008047121915,101.008108451123,1362.205,1340.22998046875,1384.18005371094,6,3,1,NA,806413.336864998,806413.336864998,806413.336864998
FT0021,100.956621156475,100.956615633207,100.956621156475,2458.31002929687,2457.26147460938,2458.31005859375,4,4,1,48515.89868042,30408.6349708547,30408.6349708547,30408.6349708547
FT0022,101.008095125966,101.008095125966,101.008095125966,936.60498046875,936.60498046875,936.605,3,3,1,NA,88834.202771094,88834.202771094,88834.202771094
FT0023,101.078999906673,101.008148762908,101.096038123792,1857,1805.70104980469,1901.90319824219,106,4,1,2118147.22615236,292177.796884149,292177.796884149,292177.796884149
FT0024,101.078844877823,101.008083610303,101.095982363519,1449.46997070312,1399.31994628906,1502.53002929688,75,4,1,509510.734607748,1329614.45030405,1329614.45030405,1329614.45030405
FT0025,101.078970378725,101.078339465561,101.095956877338,808.793029785156,745.710021972656,860.480834960938,69,4,1,2093588.09774304,1193255.24257324,1193255.24257324,1193255.24257324
FT0026,101.078958463639,101.078483495415,101.096067826435,613.898005126953,551.632995605469,676.948,72,4,1,510903.330117189,2232520.66309323,2232520.66309323,2232520.66309323
FT0027,101.078991829433,101.078299822624,101.079413052802,412.233001708984,224.779998779297,532.389,129,3,1,NA,738561.168731689,738561.168731689,738561.168731689
