Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,control,ms_level,1290_IARS49_WH1 (1).mzXML,1290_IARS49_WH2.mzXML,1290_IARS49_WH3.mzXML,1290_IARS49_WH4.mzXML
FT0001,100.07529955036,100.042234018516,100.191777253168,144.443496704102,127.284,256.648,167,4,1,47934578.693271,56263.4757062173,344611.629238281,202291.079492188
FT0002,100.075262773009,100.074817948668,100.076039517611,1718.03369140625,1651.59948730469,1783.22,74,4,1,10696596.9333737,13907209.9899805,29550155.9796754,7782763.3507814
FT0003,100.075315424715,100.074737340918,100.095403592105,1031.36643554687,942.601257324219,1116.04,94,4,1,31830486.5251408,25374548.1752981,27994172.042925,17530517.5976562
FT0004,100.075276377602,100.074729939836,100.076033728982,2221.3271484375,2105.17,2340.98828125,123,4,1,3240376.82053519,3467792.2588065,6536292.38488278,3942934.32035159
FT0005,100.075295645465,100.074770701153,100.076061084933,1240.59326171875,1119.16564941406,1355.505859375,121,4,1,15809153.6257815,41460575.3760935,12830596.9187894,13480564.6397554
FT0006,100.075261807586,100.074668135444,100.076011587168,2054.11796386719,2005.51818847656,2104.6640625,52,4,1,4228498.48635721,17852403.2175038,9628096.29388723,2892559.34563478
FT0007,100.07528050542,100.07488014931,100.075991868921,1576.65,1505.38,1645.58,75,4,1,26408495.3871634,11113875.0735002,13013478.4439618,67659536.6936324
FT0008,100.075301910969,100.074823063744,100.075903785765,1831.39,1788.42077636719,1886.34936523438,53,4,1,30847955.0808272,11600612.1525732,12902368.2620058,14093897.6904755
FT0009,100.07528324955,100.074782405116,100.076038478739,857.664916992188,761.975341796875,931.575256347656,86,4,1,11673170.0554217,25829500.4367627,11236547.1490722,20337270.420798
FT0010,100.075266376177,100.074672703374,100.076070187099,1430.91993408203,1357.28381347656,1499.15539550781,72,4,1,42193202.5292155,44490287.1279769,45571890.2474854,61389961.9966792
FT0011,100.07530480526,100.074781657407,100.086199890927,536.751450683594,391.026336669922,661.956,126,4,1,47094973.8065626,73668.6375457776,53120768.7623232,14524194.5743695
FT0012,100.07526451959,100.074760661411,100.076017061004,1945.84936523438,1891.123046875,2001.76037597656,57,4,1,5049687.11799431,7919274.61833128,4903908.16269521,5082678.48734878
FT0013,100.075302284845,100.074859595903,100.075933340571,704.741577148438,664.90185546875,739.16357421875,43,4,1,11047338.8611719,37993641.4742309,43716862.4232889,37796674.2292891
FT0014,100.075212639199,100.074808178637,100.08053283823,321.384,258.146514892578,388.958,55,4,1,16942416.1368067,125388.692921463,27431989.2711154,28324213.3793347
FT0015,100.075587198744,100.075094930795,100.075778541373,2429.72021484375,2395.75146484375,2437.94,9,4,1,1159159.95724483,1061347.13228692,969837.265099338,1026459.57347304
FT0016,101.008094622751,101.007906496187,101.00828747969,2317.50146484375,2257.71630859375,2389.67602539062,30,4,1,238079.925755227,1184828.99115127,368680.490557434,488660.842932752
FT0017,101.022984298527,101.01883259837,101.027591246326,158.828468322754,123.683639526367,213.307403564453,26,4,1,9001624.93180218,221980.224019592,12296548.9763308,45788.3567082868
FT0018,101.008056448474,101.007778133962,101.008272628513,2197.27624511719,2106.64208984375,2251.8515625,34,2,1,284830.824249989,NA,NA,592483.651724765
FT0019,101.008096333568,101.008009834794,101.008158407797,2038.8974609375,1984.1904296875,2095.1640625,20,2,1,158645.094401634,NA,NA,154049.624103064
FT0020,101.008029973123,100.956472864043,101.008222850721,2432.45647949219,2415.3876953125,2435.16918945312,6,3,1,87487.6541518266,22248.9780496036,NA,72995.6732666018
FT0021,101.008081704587,101.007901528872,101.008191586984,1443.13684082031,1385.68518066406,1493.70788574219,10,1,1,484235.469817706,NA,NA,NA
FT0022,101.078735299924,101.059307337993,101.105335861168,1085.8876953125,986.87255859375,1223,259,4,1,669950.582669275,782754.761500893,1446019.4186475,1618209.27425682
FT0023,101.078543780918,101.059295557819,101.095899784291,856.659,712.169,983.911,300,4,1,1151709.3502442,1447558.33009761,66869.3614283878,1640871.06357129
FT0024,101.078787483929,101.008052458355,101.095960795625,1737.25933837891,1662.09655761719,1801.48657226562,156,4,1,481178.634937503,792901.131528334,994312.745187519,1213896.93022624
FT0025,101.07853455303,101.059261513335,101.079217468718,620.797515869141,536.23779296875,711.699890136719,176,4,1,1064367.54579687,42406.5932812494,95948.256079101,3827488.85106932
FT0026,101.078510161349,101.059303829083,101.07907600916,497.683120361328,455.39,535.253234863281,88,4,1,2230540.44518667,213718.73515346,623709.230306128,200193.06
FT0027,101.078423711481,101.0592287929,101.07912595925,392.055358886719,338.816284179688,451.309509277344,113,4,1,2242271.49428088,453037.19739098,1539406.8872531,816093.648338747
FT0028,101.078543162607,101.05916932018,101.079229519896,288.703,245.41780090332,327.934356689453,81,4,1,1012049.07439416,1478572.25022998,2272984.55976024,678591.033723956
FT0029,101.078754445982,101.078254163575,101.095847322889,1280.6552734375,1227.71533203125,1331.17932128906,86,4,1,702406.100273452,1239712.77019407,1640850.72260498,685512.194901112
FT0030,101.078812369048,101.078455261879,101.096076835215,2115.978515625,2037.74853515625,2192.7138671875,159,4,1,219719.371044924,8803006.65443604,5209508.28658193,2230050.91959234
FT0031,101.078809067522,101.078406516566,101.096075968284,1924.55261230469,1809.927734375,2031.53,224,4,1,2358105.91819655,608103.037808952,750969.355528402,6193733.56859463
FT0032,101.078814474631,101.078582854429,101.096201190494,2262.64453125,2199.41,2339.96630859375,139,4,1,5450508.48147623,98283.9480102637,86627.232685541,188443.414537764
FT0033,101.078747193733,101.078415075496,101.09587986265,1571.87573242188,1489.96020507812,1647.65551757812,147,4,1,1266105.48587741,247120.247796867,623642.872968742,840482.917475327
FT0034,101.078771586283,101.0783421218,101.095843523412,1413.14,1336.05,1489.08142089844,136,4,1,806724.52842612,1440409.64244793,487637.218515604,223861.207989203
FT0035,101.078662033678,101.059285991926,101.081329473328,170.688919067383,123.683639526367,215.354446411133,83,4,1,7505266.50220667,3249667.56756157,517656.292202525,3364314.38471333
FT0036,102.026381273861,102.026309557601,102.026453806245,159.329999816895,159.266998291016,160.269577026367,4,4,1,541632.303607812,498073.582318041,169239.0368833,559625.589959559
FT0037,102.09913670609,102.098918018058,102.099201659201,1983.98327636719,1908.08,2034.48,19,4,1,233053.314976558,336289.763671875,165714.446074217,180442.812128908
FT0038,102.099137929588,102.099085402601,102.09918064176,2119.25734375,2044.28,2208.26,26,3,1,98699.2716145925,323186.878518413,NA,176582.480808586
FT0039,102.099167875926,102.099126012143,102.099218328746,2280.395,2225.14,2339.96630859375,16,4,1,333849.415668688,89457.309375003,78139.7680737283,256213.730954404
FT0040,102.079879130359,102.079583617856,102.108966415368,1114.32995605469,1047.41064453125,1190.72387695312,9,4,1,85397.594238283,133618.228808306,73710.8609707023,141925.76843445
FT0041,102.099196775685,102.099181137112,102.099212414257,1834.85632324219,1821.03283691406,1848.67980957031,2,1,1,106044.277258301,NA,NA,NA
FT0042,102.079506914929,102.079506914929,102.079506914929,961.57177734375,961.57177734375,961.57177734375,1,1,1,NA,NA,NA,32217.9442753901
FT0043,102.079693833962,102.079693833962,102.079693833962,1274.53759765625,1274.53759765625,1274.53759765625,1,1,1,NA,NA,NA,52794.9726873769
FT0044,102.079770130192,102.079770130192,102.079770130192,852.497924804688,852.497924804688,852.497924804688,1,1,1,NA,NA,NA,98981.7176339669
FT0045,102.079457605165,102.079457605165,102.079457605165,741.109558105469,741.109558105469,741.109558105469,1,1,1,NA,NA,29650.0257897948,NA
FT0046,102.044867037849,102.044818709984,102.090965641619,142.641441345215,123.683639526367,179.565,16,4,1,1733710.6133138,1575771.5256626,1560309.69759223,2645541.84349512
FT0047,103.005752737788,103.005642521316,103.005809441238,2301.0282421875,2244.97631835938,2340.98828125,14,3,1,NA,45982.963889161,29258.1591210942,47657.6340454109
FT0048,103.02737755031,103.02737755031,103.02737755031,159.266998291016,159.266998291016,159.266998291016,1,1,1,54384.1209077845,NA,NA,NA
FT0049,103.038663818952,103.038663818952,103.038663818952,986.947,986.947,986.947,1,1,1,NA,137807.927490098,NA,NA
FT0050,103.075068605982,103.074867460612,103.075141396965,1503.60781005859,1394.40380859375,1606.078125,38,4,1,138022.828124996,288815.744382815,302942.684707032,162802.803833011
FT0051,103.075086924851,103.053962733751,103.075138941795,1286.53329345703,1207.28051757812,1379.99291992188,28,4,1,552292.15429687,810581.007500001,509464.037007809,245434.112929684
FT0052,103.07504604196,103.074810538259,103.075244378749,1140.31726074219,1069.37243652344,1191.36047363281,21,3,1,NA,334207.423095703,233758.744889338,278111.887617183
FT0053,103.075089586099,103.075023994877,103.075238005,1672.77861083984,1637.47192382812,1745.45910644531,14,3,1,182066.208139643,326896.800800782,173533.170839839,NA
FT0054,103.075094468712,103.075047406837,103.075192414625,1910.63842773438,1850.35522460938,1963.03930664062,10,1,1,NA,NA,76552.4576293927,NA
FT0055,103.07506628453,103.07503231692,103.075099638858,2022.87731933594,1971.97204589844,2075.90380859375,9,1,1,NA,NA,95799.3654482424,NA
FT0056,103.075098738085,103.074935871436,103.075128364744,1795.16125488281,1768.57983398438,1825.91027832031,5,1,1,NA,NA,129756.641601564,NA
FT0057,103.086335288503,103.086302644568,103.086359085108,608.923522949219,607.149597167969,611.574096679688,3,3,1,74140.2152197268,NA,43991.045303711,156888.264483934
FT0058,103.07505858261,103.07505858261,103.07505858261,828.971,828.971,828.971,1,1,1,NA,411130.019985352,NA,NA
FT0059,103.07504895257,103.074948707614,103.075173333011,998.610717773438,926.712,1039.45251464844,13,4,1,980600.497519975,420702.696562492,394491.395074213,1134937.67721155
FT0060,103.075094189709,103.075049778365,103.075142083644,2249.85791015625,2135.81030273438,2326.12109375,13,1,1,NA,NA,33904.4040169676,NA
FT0061,104.033116757119,104.033090996116,104.033219423717,158.386070251465,158.382,159.266998291016,4,4,1,337704.768321777,236012.846220808,230367.138216065,376331.890224193
FT0062,104.06182662944,104.061805493687,104.06192246464,1248.28833007812,1247.34997558594,1249.26184082031,3,3,1,21067.824830932,NA,44396.5295634193,40899.9150811298
FT0063,104.106753937922,104.106676536201,104.106820252335,269.824394226074,232.256866455078,297.372497558594,4,3,1,63508.5476718751,NA,653471.041627295,137372.346503462
FT0064,104.060491042485,104.052433211834,104.060577417457,130.912570953369,123.683639526367,136.356,4,4,1,236402.985178711,96137.1472093506,47975.4118475097,87245.2185679688
FT0065,105.036437576976,105.034706907612,105.03829300026,157.913,123.693,159.333999633789,10,4,1,3015006.36679672,24261.4638826172,50819.921401123,3191860.90758334
FT0066,104.963117531637,104.962942970398,104.991967483086,2430.94946289062,2427.06787109375,2431.03295898438,3,2,1,26400.2311981207,NA,NA,31652.7896272784
FT0067,105.092193143839,105.092172418073,105.092254413044,431.511,398.213,432.427642822266,5,4,1,366603.165411457,644533.383128527,597405.703019532,322065.574270314
FT0068,105.069580126815,105.069547331923,105.069643958722,1449.72498535156,1390.66,1449.88195800781,6,4,1,609753.548555737,584267.075640626,595626.550684291,637322.626156243
FT0069,105.069687326502,105.069595095344,105.069701394068,827.040649414062,826.9453125,866.66455078125,3,2,1,159841.333234863,NA,194869.66588175,NA
FT0070,105.069699434513,105.069699434513,105.069699434513,998.793579101562,998.793579101562,998.793579101562,1,1,1,94440.0945058605,NA,NA,NA
FT0071,105.100346208019,105.100346208019,105.100346208019,935.099914550781,935.099914550781,935.099914550781,1,1,1,12573.3572985841,NA,NA,NA
FT0072,105.072890626249,105.072890626249,105.072890626249,1062.24670410156,1062.24670410156,1062.24670410156,1,1,1,NA,NA,NA,14316.5412478641
FT0073,105.092230786581,105.092230786581,105.092230786581,536.2509765625,536.2509765625,536.2509765625,1,1,1,113758.339569822,NA,NA,NA
FT0074,105.092292208111,105.092292208111,105.092292208111,283.369110107422,283.369110107422,283.369110107422,1,1,1,178138.607434028,NA,NA,NA
FT0075,105.054382712138,105.054382282884,105.054443899443,175.652,143.530029296875,177.567886352539,3,2,1,438536.107868303,158199.729758789,NA,NA
FT0076,106.076300093402,106.076300093402,106.076300093402,323.625640869141,323.625640869141,323.625640869141,1,1,1,166124.50189453,NA,NA,NA
FT0077,106.998773293649,106.998701069245,106.99881342045,2419.41528320312,2417.56616210938,2431.03295898438,3,2,1,12999.471283081,NA,9846.17726680749,NA
FT0078,107.052074506646,107.052049968168,107.052146506606,135.891242980957,130.008,142.65,4,2,1,NA,26894.857982788,NA,51188.4969438477
FT0079,107.085269839949,107.085245311343,107.085315997333,1012.48083496094,1012.26,1012.48846435547,3,3,1,1003844.5948877,1080721.39898394,NA,1131270.46013245
FT0080,107.028050352826,107.028034378465,107.069966288383,576.915893554688,567.215148925781,610.694763183594,3,2,1,NA,NA,102337.653742674,66617.4887247303
FT0081,107.048904893152,107.048904893152,107.048904893152,701.884399414062,701.884399414062,701.884399414062,1,1,1,NA,NA,78845.2090185549,NA
FT0082,107.873050482198,107.873050482198,107.873050482198,720.564514160156,720.564514160156,720.564514160156,1,1,1,13241.4260219725,NA,NA,NA
FT0083,108.088675934718,108.088673982232,108.088677887204,1012.9690246582,1012.48083496094,1013.45721435547,2,2,1,25474.158251953,NA,NA,27363.2857861332
FT0084,109.028127734987,109.028077341439,109.028186441368,128.185882568359,125.479026794434,138.145935058594,5,4,1,164618.959565429,333729.75178125,407328.135097913,226578.995699574
FT0085,109.064501771373,109.064410521796,109.064555979807,1062.53635742187,1062.24670410156,1063.1630859375,4,4,1,1298293.31083681,1291737.6543274,1305068.17141084,1376282.88071556
FT0086,109.123496979509,109.123496979509,109.123496979509,1948.93,1948.93,1948.93,1,1,1,NA,55887.2038183591,NA,NA
FT0087,109.100981129791,109.100981129791,109.100981129791,1249.30310058594,1249.30310058594,1249.30310058594,1,1,1,435859.822499991,NA,NA,NA
FT0088,109.798487774296,109.798017713629,109.800259474999,129.09886932373,124.613731384277,139.953796386719,4,3,1,63525.0677492676,NA,147296.539654053,50598.3090431463
FT0089,109.79843370256,109.798282668768,109.798584736352,1232.31390380859,1226.94030761719,1237.6875,2,1,1,NA,NA,NA,7506.75171712213
FT0090,109.799729698662,109.79960790094,109.799851496383,720.5035,711.221,729.786,2,1,1,NA,9152.16215164167,NA,NA
FT0091,109.79960406737,109.79960406737,109.79960406737,2340.98828125,2340.98828125,2340.98828125,1,1,1,NA,NA,NA,8310.69230273456
FT0092,109.79946090003,109.79946090003,109.79946090003,2208.4140625,2208.4140625,2208.4140625,1,1,1,NA,NA,NA,10027.039212402
FT0093,110.00842517551,110.008365512884,110.008462196126,124.581410186768,123.728866577148,127.283790588379,4,4,1,102586.504110938,136079.393928223,63590.3931484375,192621.539548562
FT0094,110.067894085116,110.067871114282,110.067941790582,1063.23583984375,1062.54,1063.49987792969,3,3,1,NA,59117.167298006,49837.3714804684,64957.1877075198
FT0095,110.104370621422,110.104370621422,110.104370621422,1250.25463867188,1250.25463867188,1250.25463867188,1,1,1,40390.7651207478,NA,NA,NA
FT0096,111.116557756992,111.116481288996,111.116634224989,1801.99369873047,1801.95739746094,1802.03,2,2,1,76537.3068722547,151015.855126952,NA,NA
FT0097,113.059466130814,113.051902524329,113.067387084287,607.136,471.79443359375,678.476,107,4,1,145734.090835939,150491.095927211,1343851.56729492,124406.720058108
FT0098,113.059435133775,113.05913100181,113.060112378305,1601.58813476562,1517.46838378906,1701.20532226562,140,4,1,967014.013005379,487193.346404096,991791.089929691,523895.425146793
