Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,wild,ms_level,699_PH1_WH1 (1).mzXML,699_PH1_WH2 (1).mzXML,699_PH1_WH3 (1).mzXML,699_PH1_WH4 (1).mzXML
FT0001,100.075672189137,100.01870898655,100.181198481354,168.471130371094,125.578636169434,321.778228759766,239,4,1,51167.1101788331,576445.987423633,728819.029605467,104427.754729166
FT0002,100.075498927325,100.041841771514,100.17668828883,1048.46,957.943420410156,1144.68151855469,137,4,1,39218034.7992546,41676.880767934,17181794.5367112,31533303.3636093
FT0003,100.075500643782,100.04235257995,100.109464636028,752.76,672.288,834.541748046875,134,4,1,5653513.54381251,32091.2749906771,19634.7828472899,17742564.6705631
FT0004,100.075513180875,100.042427057453,100.109652738434,622.065995361328,569.256042480469,669.141967773438,80,4,1,16919840.7412587,16980.9101053463,32309.6625812987,14432236.5387878
FT0005,100.075544381722,100.042547699205,100.109337233389,888.6005,835.582,949.686,86,4,1,25909987.2720337,102251.073802781,32732844.5224363,14716714.5995386
FT0006,100.075756396758,100.042578309919,100.109440120377,518.8017578125,463.926,567.168,75,4,1,25464472.2643891,19958727.1038086,14570245.219761,14224992.9937324
FT0007,100.075809339464,100.072682712802,100.109657346974,396.779,326.159484863281,456.744,86,4,1,17475139.7195765,28042.7204060756,32645419.1572689,77884.5716466879
FT0008,100.0754508998,100.074717487024,100.076246691544,1532.63479003906,1444.29,1609.77355957031,100,4,1,19947811.75385,27101696.8560349,12204464.2846872,4251874.65000016
FT0009,100.075491890679,100.074710789669,100.076178708292,1694.31,1613.96,1786.53918457031,103,4,1,11289131.1993165,17657073.7200176,25853633.3110252,31516856.9665629
FT0010,100.075441785028,100.072390463012,100.076195120216,1207.06079101562,1145.72,1275.32849121094,74,4,1,23301681.0462838,18930390.2916794,18877344.016245,16228555.3515625
FT0011,100.075448461219,100.074707962216,100.076164603052,1968.45739746094,1909.56274414062,2027.77307128906,67,4,1,1879249.89511232,6197935.25503254,5399108.97693744,10028650.8684228
FT0012,100.075494525464,100.074789297187,100.076238412725,2244.92761230469,2162.49,2372.15258789062,98,4,1,4323673.05777811,6939664.5345866,5328954.62263173,4185977.72996654
FT0013,100.075472880884,100.074710703266,100.076263128873,1358.4716796875,1284.6826171875,1441.48303222656,92,4,1,12105231.0326026,21779069.19745,23952983.263809,43277737.0496936
FT0014,100.07544666468,100.074745750155,100.07630306526,1851.9271875,1788.70812988281,1905.61535644531,66,4,1,7376374.44068362,9710647.57910168,8545125.20654291,7313324.03327549
FT0015,100.07546713036,100.074903361155,100.076264137718,2094.7783203125,2037.65661621094,2154.45385742188,67,4,1,3855057.71533979,5558791.65371474,3099943.08906271,7044015.84867817
FT0016,100.075523162045,100.07496677411,100.075833430396,2416.1,2400.04956054688,2423.05126953125,8,4,1,1323099.10533377,512160.350960076,1092578.02358678,473337.645000004
FT0017,101.008110961692,101.007919828313,101.008295547263,2284.82055664062,2156.45849609375,2384.80834960938,84,3,1,700774.637675788,277033.34355469,692647.189153661,NA
FT0018,101.008091419253,101.008056217622,101.008124059479,2088.82055664062,2051.36083984375,2144.48779296875,27,1,1,NA,NA,99500.0501015636,NA
FT0019,101.007946123733,100.98174936978,101.008195828294,2414.73779296875,2406.62,2423.05126953125,12,4,1,36443.3558143027,54661.0693725578,89608.0721449998,17515.5116113281
FT0020,101.078726652343,101.05934758613,101.095962230023,1029.1,953.842712402344,1115.65,201,4,1,429248.12000001,32162.6449853529,664549.429443389,4386399.03642344
FT0021,101.078781289249,101.007896416114,101.095980314149,1659.74536132812,1568.5966796875,1751.77197265625,204,4,1,727564.961139072,541779.245937489,812762.519880984,907138.162343746
FT0022,101.078704245736,101.059283426354,101.095974480503,862.632,751.462280273438,949.686,221,4,1,442113.077661028,126374.060791626,101354.2629375,1469114.51385841
FT0023,101.078775322312,101.007944650415,101.095918204599,1798.14465332031,1753.85,1843.48486328125,101,4,1,1909916.92883204,702226.595972226,283305.973437511,341858.729133613
FT0024,101.078773183547,101.007963506652,101.095959911442,1474.56958007812,1381.63269042969,1568.07727050781,206,4,1,211585.859179685,271715.574281251,550910.699382315,1000288.54286224
